Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Depth_code,land_use_code,OC_Class,pH_Class,Fertility_Class,photo_path,photo_exists
0-20 cm,41462942,6.2,6.36,26.1,34.3,5.0,12.7,3.7,94.7,13.45,287.5,0.9,1.9,DE,DEB,DEB3,DEB3G,49.56486644,7.580825792,7/6/2018,393,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\414\629\41462942E.jpg,True
0-20 cm,41462950,6.0,6.47,29.1,21.5,5.0,39.9,3.0,159.8,13.45,287.5,0.9,1.9,DE,DEB,DEB3,DEB3G,49.63676267,7.577235933,8/6/2018,197,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\414\629\41462950E.jpg,True
0-20 cm,41463292,4.6,5.37,7.42,30.7,5.0,102.7,2.4,70.2,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE949,52.70891902,7.410228763,25-06-18,25,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\414\632\41463292E.jpg,True
0-20 cm,41483196,7.0,7.57,19.42,14.9,8.0,28.8,1.5,184.5,13.45,287.5,0.5,3.6,DE,DEA,DEA3,DEA35,51.84740518,7.488947567,27-08-18,57,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\414\831\41483196E.jpg,True
0-20 cm,41502948,5.4,5.97,9.52,27.6,1.0,13.4,3.1,167.0,13.45,287.5,0.9,1.9,DE,DEB,DEB3,DEB3G,49.61996044,7.633456633,8/6/2018,325,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\415\029\41502948E.jpg,True
0-20 cm,41523186,7.0,7.56,21.03,14.6,26.0,78.6,1.6,173.1,13.45,287.5,0.9,1.9,DE,DEA,DEA3,DEA35,51.75881064,7.551837254,1/8/2018,63,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\415\231\41523186E.jpg,True
0-20 cm,41523334,4.0,4.56,55.2,510.7,5.0,88.3,19.3,234.0,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE949,53.08797473,7.477215484,25-05-18,6,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\415\233\41523334E.jpg,True
0-20 cm,41543058,6.2,6.51,13.01,15.2,5.0,63.1,1.8,217.2,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB18,50.60956005,7.640390099,17-05-18,218,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\415\430\41543058E.jpg,True
0-20 cm,41543076,5.1,5.6,18.74,26.5,5.0,23.7,2.9,59.6,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB13,50.77127831,7.632228983,24-05-18,185,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\415\430\41543076E.jpg,True
0-20 cm,41583286,5.7,6.4,12.95,15.7,5.0,81.2,1.4,130.0,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE949,52.65874224,7.590646986,6/9/2018,33,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\415\832\41583286E.jpg,True
0-20 cm,41583370,4.8,5.37,9.14,29.2,5.0,146.1,2.1,36.5,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE947,53.41310534,7.548386426,14-09-18,-44,E20,U370,Grassland,Grassland without tree/shrub cover,Residential,1,20,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\415\833\41583370E.jpg,True
0-20 cm,41602942,5.0,5.67,8.35,15.9,5.0,50.7,1.8,150.8,13.45,287.5,0.9,1.9,DE,DEB,DEB3,DEB3F,49.56884371,7.774248385,9/6/2018,347,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\029\41602942E.jpg,True
0-20 cm,41603078,3.8,4.2,20.2,40.9,5.0,36.6,3.5,110.9,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB13,50.7909604,7.716368831,16-05-18,169,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\030\41603078E.jpg,True
0-20 cm,41603104,3.4,4.23,17.22,229.2,3.0,32.6,10.8,82.9,13.45,287.5,0.9,1.9,DE,DEA,DEA2,DEA2A,51.02454946,7.704871822,20-06-18,321,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\031\41603104E.jpg,True
0-20 cm,41603222,4.8,5.43,21.36,19.8,5.0,108.5,1.8,360.9,13.45,287.5,0.9,1.9,DE,DEA,DEA3,DEA37,52.08452241,7.650835287,20-05-18,45,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\032\41603222E.jpg,True
0-20 cm,41603320,4.9,5.74,10.9,21.0,5.0,148.6,1.5,238.1,13.45,287.5,0.7,0.3,DE,DE9,DE94,DE949,52.96468356,7.603506716,5/9/2018,17,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\033\41603320E.jpg,True
0-20 cm,41603342,4.8,5.2,21.7,152.3,5.0,25.9,9.0,72.4,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94C,53.16225708,7.592558458,7/6/2018,3,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\033\41603342E.jpg,True
0-20 cm,41623298,4.1,4.83,3.19,17.6,1.0,25.4,1.0,13.2,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE949,52.76769172,7.643950333,7/9/2018,47,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,Moderate,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\232\41623298E.jpg,True
0-20 cm,41642752,3.9,4.44,10.87,51.5,5.0,19.4,3.5,116.1,13.45,287.5,0.9,1.9,DE,DE1,DE13,DE139,47.86156154,7.902645817,9/9/2018,1170,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\427\41642752E.jpg,True
0-20 cm,41642978,6.6,6.91,17.6,12.9,5.0,61.5,1.5,394.8,13.45,287.5,0.7,2.8,DE,DEB,DEB1,DEB14,49.89347668,7.814925742,25-05-18,215,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\429\41642978E.jpg,True
0-10 cm,41643072,3.4,3.78,14.85,103.1,5.0,18.6,5.0,61.9,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB13,50.73815944,7.775640238,15-05-18,264,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,0,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\430\41643072E.jpg,True
0-20 cm,41643342,4.5,5.31,9.22,17.7,5.0,212.3,1.6,67.7,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE948,53.16343399,7.652331193,8/6/2018,2,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\433\41643342E.jpg,True
0-20 cm,41643360,5.0,5.73,12.0,43.0,5.0,134.2,2.6,43.9,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94C,53.32508729,7.643506571,23-08-18,6,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\433\41643360E.jpg,True
0-20 cm,41643396,5.5,5.98,10.51,21.6,5.0,83.9,2.0,172.3,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94H,53.64838771,7.625612583,12/9/2018,-50,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\433\41643396E.jpg,True
0-20 cm,41663232,4.9,5.57,10.14,26.2,5.0,83.7,2.1,131.8,13.45,287.5,0.9,1.9,DE,DEA,DEA3,DEA37,52.17604985,7.733779992,16-07-18,44,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\632\41663232E.jpg,True
0-20 cm,41682724,4.8,5.53,8.93,41.9,5.0,62.9,4.1,235.1,13.45,287.5,0.9,1.9,DE,DE1,DE13,DE13A,47.610693,7.966051056,11/9/2018,782,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\827\41682724E.jpg,True
0-20 cm,41682750,4.1,4.62,21.4,81.1,3.0,13.6,5.2,153.9,13.45,287.5,0.9,1.9,DE,DE1,DE13,DE139,47.84457932,7.956775166,9/9/2018,1091,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\827\41682750E.jpg,True
0-20 cm,41683290,3.3,4.0,5.05,25.9,5.0,16.2,1.1,22.9,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE948,52.69755388,7.736517091,6/9/2018,33,C23,U120,Woodland,Other coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\416\832\41683290E.jpg,True
0-20 cm,41702722,5.4,6.03,16.86,25.5,5.0,67.4,2.6,412.8,13.45,287.5,0.9,1.9,DE,DE1,DE13,DE13A,47.59319182,7.993326851,12/9/2018,668,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\027\41702722E.jpg,True
0-20 cm,41703028,5.4,5.86,29.83,40.1,5.0,24.2,4.7,106.0,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB1A,50.34439526,7.878499464,6/6/2018,323,B72,U111,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\030\41703028E.jpg,True
0-20 cm,41703214,5.5,6.16,8.85,12.2,5.0,59.8,1.2,81.3,13.45,287.5,0.9,1.1,DE,DEA,DEA3,DEA38,52.01546889,7.800190745,16-05-18,52,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\032\41703214E.jpg,True
0-20 cm,41703268,4.8,5.29,14.51,21.2,5.0,130.4,2.0,99.1,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94E,52.50051023,7.77609251,4/9/2018,74,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\032\41703268E.jpg,True
0-20 cm,41723044,5.1,5.69,8.02,34.0,5.0,34.5,3.3,110.4,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB1B,50.48869064,7.90020559,7/6/2018,284,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\230\41723044E.jpg,True
0-20 cm,41742978,7.3,8.03,23.48,19.0,152.0,49.8,1.6,768.2,13.45,287.5,0.9,1.9,DE,DEB,DEB3,DEB3J,49.89606715,7.954035021,4/7/2018,133,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\429\41742978E.jpg,True
0-20 cm,41743032,5.2,5.77,8.93,24.4,5.0,40.3,2.9,100.0,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB1A,50.38136774,7.933101778,29-05-18,243,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\430\41743032E.jpg,True
0-20 cm,41743072,3.9,4.64,10.21,60.1,1.0,26.5,3.1,51.5,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB13,50.74080353,7.917247044,4/6/2018,306,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\430\41743072E.jpg,True
0-20 cm,41743198,3.6,4.46,15.78,94.2,2.0,17.7,7.1,150.1,13.45,287.5,0.9,1.9,DE,DEA,DEA3,DEA38,51.87281178,7.865264537,18-07-18,70,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,1,22,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\431\41743198E.jpg,True
0-20 cm,41743302,5.2,5.53,33.9,62.8,5.0,58.1,3.5,67.4,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE948,52.80698149,7.819872541,7/9/2018,25,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\433\41743302E.jpg,True
0-20 cm,41743306,5.6,6.34,8.22,17.9,5.0,111.6,1.4,137.3,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE948,52.84290865,7.81807925,7/9/2018,40,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\433\41743306E.jpg,True
0-20 cm,41763100,3.8,4.66,9.21,100.8,1.0,19.1,7.4,89.0,13.45,287.5,0.9,1.9,DE,DEA,DEA5,DEA59,50.99289848,7.934443506,2/7/2018,450,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\631\41763100E.jpg,True
0-10 cm,41763118,4.7,5.23,21.6,43.9,5.0,40.9,4.6,112.9,13.45,287.5,1.5,3.7,DE,DEA,DEA5,DEA59,51.15462441,7.927211251,31-05-18,258,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),0,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\631\41763118E.jpg,True
0-20 cm,41763142,6.5,6.94,11.26,20.4,1.0,37.5,2.3,252.5,13.45,287.5,2.8,6.4,DE,DEA,DEA5,DEA57,51.37024921,7.917469987,23-07-18,386,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\631\41763142E.jpg,True
0-20 cm,41763268,4.6,5.45,7.07,18.7,5.0,20.5,2.1,247.5,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94E,52.50212519,7.864411583,7/9/2018,89,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\632\41763268E.jpg,True
0-20 cm,41763334,4.8,5.45,7.46,30.9,5.0,127.1,1.9,32.3,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE948,53.09493419,7.835266057,5/6/2018,11,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\633\41763334E.jpg,True
0-20 cm,41782754,4.3,4.63,38.1,120.5,5.0,32.7,6.3,96.9,13.45,287.5,0.9,1.9,DE,DE1,DE13,DE132,47.88296642,8.088921918,2/10/2018,751,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\827\41782754E.jpg,True
0-20 cm,41782772,5.7,6.09,43.54,66.6,5.0,62.3,6.1,267.9,13.45,287.5,0.9,1.9,DE,DE1,DE13,DE132,48.04487784,8.082848902,8/9/2018,968,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\827\41782772E.jpg,True
0-20 cm,41782888,7.2,7.89,29.56,14.2,62.0,39.6,1.6,413.4,13.45,287.5,0.5,1.4,DE,DEB,DEB3,DEB3H,49.08802179,8.042501763,19-06-18,180,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\828\41782888E.jpg,True
0-20 cm,41782970,7.3,8.04,19.19,19.5,88.0,21.6,1.9,902.1,13.45,287.5,0.9,1.9,DE,DEB,DEB3,DEB3B,49.82515103,8.012655768,25-05-18,168,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\829\41782970E.jpg,True
0-20 cm,41783032,6.1,6.51,11.96,18.0,5.0,32.4,1.8,189.5,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB1A,50.38236788,7.989317885,29-05-18,138,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\830\41783032E.jpg,True
0-20 cm,41783068,4.8,5.43,21.0,60.4,1.0,18.5,6.3,247.5,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB13,50.70586968,7.975449471,24-05-18,502,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\830\41783068E.jpg,True
0-20 cm,41783204,6.1,6.64,8.73,10.5,5.0,57.4,1.2,258.2,13.45,287.5,0.6,2.1,DE,DEA,DEA3,DEA38,51.92774942,7.920836837,9/5/2018,53,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\832\41783204E.jpg,True
0-20 cm,41783234,5.5,6.06,9.51,26.0,1.0,26.5,1.9,50.2,13.45,287.5,0.9,1.9,DE,DEA,DEA3,DEA37,52.19724022,7.908294356,24-06-18,40,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\832\41783234E.jpg,True
0-20 cm,41783288,3.1,4.85,8.98,42.7,2.0,147.9,2.4,44.7,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94E,52.68229499,7.88524249,6/9/2018,31,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\832\41783288E.jpg,True
0-20 cm,41783342,5.2,6.12,7.13,20.9,5.0,135.1,1.5,89.5,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE946,53.16732024,7.861558712,15-07-18,10050,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\833\41783342E.jpg,True
0-20 cm,41783356,3.5,4.04,41.3,530.7,5.0,31.7,12.5,64.7,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE946,53.29306377,7.855312224,29-05-18,6,H12,U140,Wetlands,Peatbogs,Mining and quarrying,1,15,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\833\41783356E.jpg,True
0-20 cm,41783392,6.1,6.31,25.5,55.8,5.0,72.5,6.1,397.7,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94H,53.61639888,7.839043743,12/9/2018,-47,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\417\833\41783392E.jpg,True
0-20 cm,41802956,7.3,7.89,17.79,15.0,17.0,24.7,1.8,370.0,13.45,287.5,1.2,1.7,DE,DEB,DEB3,DEB3D,49.69979541,8.045543015,4/6/2018,318,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\029\41802956E.jpg,True
0-20 cm,41823036,6.2,6.59,14.84,22.0,5.0,33.1,2.2,298.8,13.45,287.5,0.9,1.9,DE,DE7,DE72,DE723,50.41928745,8.044049601,24-05-18,133,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\230\41823036E.jpg,True
0-20 cm,41823058,4.6,5.44,10.03,41.2,5.0,14.3,4.1,91.9,13.45,287.5,0.9,1.9,DE,DEB,DEB1,DEB1B,50.6169892,8.035822961,5/6/2018,466,A30,U319,Artificial land,Other artificial areas,"Electricity, gas and thermal power distribution",1,8,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\230\41823058E.jpg,True
0-20 cm,41823112,3.5,4.14,16.77,80.0,2.0,15.7,4.6,71.7,13.45,287.5,0.9,1.9,DE,DEA,DEA5,DEA59,51.10221187,8.015260109,31-05-18,378,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\231\41823112E.jpg,True
0-20 cm,41823184,7.0,7.6,26.29,39.1,82.0,117.6,3.9,472.2,13.45,287.5,0.6,2.0,DE,DEA,DEA3,DEA38,51.74908772,7.986996131,12/6/2018,104,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\231\41823184E.jpg,True
0-20 cm,41823212,5.7,6.22,13.21,56.6,5.0,70.8,5.3,404.3,13.45,287.5,0.9,1.9,DE,DEA,DEA3,DEA38,52.00062743,7.975733665,18-07-18,59,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\232\41823212E.jpg,True
0-20 cm,41823284,3.5,4.01,10.74,33.8,5.0,87.8,2.7,113.4,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94E,52.64739572,7.946047442,17-07-18,-28,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\232\41823284E.jpg,True
0-20 cm,41823346,5.1,5.77,13.17,26.9,5.0,138.4,1.9,98.8,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE946,53.20429189,7.919613764,30-05-18,6,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\233\41823346E.jpg,True
0-20 cm,41823378,5.6,5.93,35.72,84.8,1.0,57.7,7.3,388.9,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE94H,53.49171109,7.905642436,11/9/2018,-44,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\233\41823378E.jpg,True
0-20 cm,41843340,5.4,5.98,17.81,37.9,5.0,60.1,3.3,136.8,13.45,287.5,0.6,4.1,DE,DE9,DE94,DE946,53.15091062,7.952089528,26-05-18,3,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\433\41843340E.jpg,True
0-20 cm,41843358,5.3,5.81,17.18,68.6,1.0,89.6,5.7,257.7,13.45,287.5,0.9,1.9,DE,DE9,DE94,DE946,53.31258757,7.94439465,29-05-18,11,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\433\41843358E.jpg,True
0-20 cm,41863092,5.9,6.29,26.78,38.2,2.0,18.5,4.0,145.0,13.45,287.5,0.9,1.9,DE,DEA,DEA5,DEA5A,50.92346448,8.079807728,2/7/2018,259,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\DE\418\630\41863092E.jpg,True
